ID,DISTRITO
4409000,9
4409010,9
4409020,9
4409022,9
4409025,9
4409030,9
4409060,9
4409070,9
4409080,9
4409085,9
4409090,9
4409040,10
4409050,10
4409100,10
4410000,10
4410004,10
4410005,10
4410006,10
4410010,10
4410020,10
4410030,10
4410040,10
4410045,10
4410046,10
4410050,10
4410060,10
4410070,10
4410080,10
4410085,10
4410090,10
4410100,10
4410110,10
4410115,10
4410120,10
4410130,10
4410140,10
4410150,10
4410160,10
4410165,10
4410170,10
4410175,10
4410180,10
4411000,11
4411010,11
4411020,11
4411030,11
4411033,11
4411035,11
4411040,11
4411050,11
4411060,11
4411070,11
4411075,11
4411080,11
4411090,11
4411100,11
4411110,11
4411120,11
4411130,11
4411140,11
4411150,11
4411160,11
4411170,11
4411180,11
4411190,11
4411195,11
4411200,11
4411210,11
4411220,11
4411225,11
4411230,11
4421000,21
4421010,21
4421020,21
4421040,21
4421050,21
4421060,21
4421070,21
4421075,21
4421080,21
4421090,21
4421100,21
4421110,21
4421120,21
4421130,21
4421140,21
4421150,21
4421160,21
4421170,21
4421180,21
4421190,21
4421195,21
4421200,21
4421210,21
4421220,21
4421225,21
4421230,21
4421233,21
4421235,21
4421236,21
4421240,21
4421245,21
4425000,25
4425005,25
4425010,25
4425015,25
4425020,25
4425025,25
4425030,25
4425035,25
4425040,25
4425050,25
4425060,25
4425070,25
4425080,25
4425090,25
4425095,25
4425100,25
4425110,25
4425120,25
4425125,25
4426000,26
4426010,26
4426015,26
4426020,26
4426030,26
4426040,26
4426050,26
4426060,26
4426070,26
4426080,26
4426085,26
4426090,26
4426100,26
4427000,27
4427005,27
4427010,27
4427015,27
4427020,27
4427021,27
4427022,27
4427023,27
4427025,27
4427030,27
4427040,27
4427050,27
4427055,27
4427060,27
4427070,27
4428000,28
4428010,28
4428020,28
4428030,28
4428040,28
4428050,28
4428060,28
4428070,28
4428075,28
4428080,28
4428090,28
4428100,28
4428110,28
4428115,28
4428130,28
4428140,28
4428150,28
4428160,28
4428170,28
4428180,28
4429000,29
4429002,29
4429003,29
4429005,29
4429010,29
4429020,29
4429030,29
4429033,29
4429035,29
4429040,29
4429050,29
4429060,29
4429065,29
4429070,29
4429080,29
4429090,29
4429100,29
4429110,29
4429120,29
4429130,29
4429135,29
4429140,29
4429150,29
4429160,29
4429170,29
4429180,29
4429190,29
4429200,29
4429205,29
4429210,29
4429220,29
4429225,29
4429230,29
4429240,29
4429250,29
4429260,29
4429265,29
4429270,29
4429280,29
4429290,29
4429300,29
4429310,29
4429320,29
4430000,30
4430010,30
4430020,30
4430030,30
4430040,30
4430050,30
4430055,30
4430060,30
4430065,30
4430070,30
4430080,30
4430090,30
4430092,30
4430095,30
4430097,30
4430100,30
4430110,30
4430112,30
4430115,30
4430120,30
4430130,30
4430132,30
4430135,30
4430140,30
4430150,30
4430155,30
4430160,30
4430161,30
4430162,30
4430163,30
4430164,30
4430165,30
4430170,30
4430180,30
4430190,30
4430200,30
4430210,30
4430220,30
4430230,30
4430235,30
4430240,30
4430250,30
4430260,30
4430270,30
4430275,30
4430280,30
4430290,30
4430300,30
4430310,30
4430320,30
4430330,30
4430340,30
4430345,30
4430350,30
4430355,30
4430360,30
4430370,30
4430380,30
4430385,30
4430390,30
4430400,30
4430410,30
4431000,31
4431001,31
4431010,31
4431020,31
4431030,31
4431040,31
4431050,31
4431060,31
4431070,31
4431080,31
4431090,31
4431091,31
4431100,31
4431110,31
4431120,31
4431130,31
4431140,31
4431150,31
4431160,31
4431170,31
4432000,32
4432010,32
4432020,32
4432022,32
4432025,32
4432027,32
4432030,32
4432040,32
4432050,32
4432060,32
4432070,32
4432080,32
4432090,32
4432100,32
4432110,32
4432115,32
4432117,32
4432120,32
4432130,32
4432140,32
4432150,32
4432160,32
4432170,32
4432180,32
4432190,32
4433010,33
4433020,33
4433030,33
4433040,33
4433050,33
4433060,33
4433070,33
4433080,33
4433090,33
4433100,33
4433110,33
4433120,33
4433130,33
4433140,33
4433150,33
4433160,33
4433170,33
4433180,33
4433185,33
4433190,33
4433200,33
4433210,33
4433220,33
4433230,33
4433240,33
4433250,33
4434000,34
4434010,34
4434015,34
4434020,34
4434030,34
4434040,34
4434050,34
4434060,34
4434070,34
4434080,34
4434090,34
4434100,34
4434110,34
4434120,34
4434130,34
4434140,34
4434150,34
4434170,34
4434180,34
4434190,34
4434200,34
4434210,34
4434220,34
4434224,34
4434226,34
4434230,34
4434240,34
4434250,34
4434260,34
4434270,34
4434280,34
4434290,34
4434300,34
4434310,34
4436000,36
4436010,36
4436020,36
4436040,36
4436050,36
4436060,36
4436070,36
4436080,36
4436090,36
4436100,36
4436110,36
4437000,37
4437010,37
4437020,37
4437030,37
4437040,37
4437050,37
4437060,37
4437070,37
4437080,37
4437090,37
4437095,37
4437100,37
4437110,37
4437140,37
4437150,37
4438000,38
4438010,38
4438020,38
4438030,38
4438040,38
4438050,38
4438055,38
4438060,38
4438070,38
4438080,38
4438090,38
4438100,38
4438110,38
4438120,38
4438130,38
4438140,38
4438150,38
4438160,38
4438170,38
4438180,38
4438181,38
4438182,38
4438190,38
4438200,38
4438210,38
4438220,38
4438230,38
4438240,38
4438250,38
4438260,38
4438270,38
4438280,38
4438290,38
4439000,39
4439010,39
4439020,39
4439030,39
4439040,39
4439050,39
4439070,39
4439080,39
4445000,45
4445010,45
4445020,45
4445030,45
4445040,45
4445050,45
4445060,45
4445070,45
4445080,45
4445090,45
4445100,45
4445110,45
4445120,45
4445130,45
4445140,45
4446000,46
4446010,46
4446020,46
4446030,46
4446040,46
4446050,46
4446060,46
4446070,46
4446080,46
4446090,46
4446100,46
4446120,46
4446125,46
4446127,46
4446130,46
4446150,46
4446160,46
4446170,46
4446180,46
4446200,46
4446210,46
4446220,46
4446230,46
4446240,46
4455000,55
4455010,55
4455020,55
4455030,55
4455040,55
4455050,55
4455060,55
4455070,55
4455080,55
4455090,55
4455100,55
4455110,55
4455120,55
4455130,55
4455140,55
4455150,55
4455160,55
4455170,55
4455180,55
4455190,55
4455210,55
4455220,55
4455230,55
4455240,55
4455250,55
4455260,55
4455280,55
4455290,55
4455300,55
4455305,55
4455310,55
4455320,55
4455340,55
4455350,55
4455360,55
4455370,55
4455380,55
4455390,55
4455400,55
4455405,55
4455410,55
4456000,56
4456010,56
4456020,56
4456030,56
4456050,56
4456070,56
4456080,56
4456090,56
4456100,56
4456110,56
4456130,56
4456135,56
4456137,56
4456139,56
4456140,56
4456142,56
4456160,56
4456170,56
4456172,56
4456175,56
4456180,56
4456190,56
4456200,56
4456202,56
4456205,56
4456210,56
4457000,57
4457010,57
4457020,57
4457030,57
4457040,57
4457060,57
4457070,57
4457080,57
4457090,57
4457100,57
4457110,57
4457120,57
4457130,57
4457140,57
4457150,57
4457160,57
4458000,58
4458005,58
4458010,58
4458020,58
4458025,58
4458030,58
4458040,58
4458050,58
4458060,58
4458070,58
4458080,58
4458090,58
4458100,58
4458110,58
4458120,58
4458140,58
4458145,58
4458150,58
4458160,58
4458170,58
4458180,58
4459000,59
4459010,59
4459015,59
4459020,59
4459030,59
4459050,59
4459060,59
4459070,59
4459080,59
4459090,59
4459100,59
4459110,59
4459120,59
4459130,59
4459140,59
4459150,59
4459160,59
4459170,59
4459180,59
4459185,59
4459190,59
4459200,59
4459210,59
4459220,59
4459230,59
4459240,59
4459250,59
4459260,59
4459270,59
4459280,59
4459290,59
4459300,59
4459310,59
4459320,59
4459330,59
4459340,59
4459350,59
4462000,62
4462010,62
4462020,62
4462030,62
4462040,62
4462050,62
4462060,62
4462070,62
4462080,62
4462090,62
4462095,62
4462105,62
4462110,62
4462120,62
4462130,62
4462140,62
4462150,62
4463000,63
4463010,63
4463020,63
4463030,63
4463040,63
4463050,63
4463060,63
4463070,63
4463080,63
4463090,63
4463110,63
4463120,63
4464000,64
4464010,64
4464020,64
4464030,64
4464040,64
4464050,64
4464060,64
4464070,64
4464080,64
4464090,64
4464100,64
4464110,64
4464120,64
4464130,64
4464140,64
4464150,64
4464160,64
4464170,64
4464180,64
4464190,64
4464195,64
4464200,64
4466020,66
4466025,66
4466030,66
4466035,66
4466040,66
4466050,66
4466060,66
4466070,66
4466080,66
4466090,66
4466100,66
4466110,66
4466115,66
4466120,66
4467000,67
4467000,67
4467030,67
4467035,67
4467040,67
4467050,67
4467060,67
4467062,67
4467065,67
4467070,67
4467080,67
4467090,67
4467110,67
4467120,67
4467123,67
4467125,67
4467130,67
4467135,67
4467140,67
4467143,67
4467145,67
4467150,67
4467155,67
4467160,67
4467190,67
4467200,67
4467220,67
4467240,67
4467245,67
4467250,67
4467260,67
4467265,67
4467270,67
4467275,67
4467285,67
4467290,67
4467295,67
4467989,67
4468000,68
4468010,68
4468020,68
4468030,68
4468040,68
4468050,68
4468055,68
4468060,68
4468070,68
4468080,68
4468090,68
4468100,68
4469000,69
4469020,69
4469050,69
4469070,69
4469090,69
4469100,69
4469103,69
4469105,69
4469107,69
4469110,69
4469123,69
4469125,69
4470000,70
4470090,70
4470100,70
4470110,70
4470120,70
4470130,70
4470140,70
4470150,70
4470160,70
4470170,70
4470180,70
4470190,70
4470210,70
4470250,70
4470260,70
4470261,70
4470262,70
4470263,70
4470270,70
4470280,70
4470300,70
4470310,70
4470315,70
4470320,70
4472010,72
4472020,72
4472025,72
4472030,72
4472040,72
4472050,72
4472060,72
4472070,72
4472080,72
4472085,72
4472090,72
4472100,72
4472110,72
4472120,72
4472130,72
4472140,72
4472160,72
4472165,72
4472170,72
4472175,72
4472185,72
4472210,72
4472215,72
4472220,72
4472225,72
